gene_symbol,statistic,dm,p.value,mean_pnet,mean_norm,pval_log
ALG6,0.0997697564087734,0.0021143771529394673,0.9227141459326931,0.10074994133178994,0.09863556417885047,0.034932821262197565
ALK,-0.1496453733805314,-0.004948304701434536,0.8843442058235951,0.13249012177118338,0.13743842647261795,0.0533786653100824
ALKBH5,-0.31113196370011725,-0.009156555872133626,0.7627860829751714,0.07001950155293951,0.07917605742507314,0.11759723925244049
ALMS1,0.4776295080253425,0.01066391686660436,0.6443003008112489,0.05818793944914822,0.04752402258254386,0.19091166588998
ALOX12,1.8001882832255742,0.18284918790334115,0.10535926955406058,0.449080187696323,0.26623099979298187,0.9773272489587677
ALOX5,0.23364177905013553,0.0038002139409021446,0.8204908390319369,0.07844113535790288,0.07464092141700074,0.08592626358113707
ALPL,0.048077853609642555,0.001379690393944616,0.9627041929040948,0.09976339985841864,0.09838370946447404,0.016507136680578717
ALS2CL,-2.065060063466477,-0.07376512025759466,0.06891321394876074,0.13828476307010495,0.2120498833276996,1.1616974951489742
ALX1,1.2868903463482977,0.03826098773606407,0.23024422231169714,0.12982452433124264,0.09156353659517857,0.6378112590665344
ALX4,1.6600557536571172,0.03581925891482801,0.13127391021307724,0.15498386755576488,0.11916460864093688,0.8818215783763579
AMIGO1,0.6975995783751697,0.018600539344696077,0.5030494275238546,0.08493522785955399,0.06633468851485791,0.2983893408958714
AMOT,-0.7502870052039742,-0.032799859902798295,0.4722399685568863,0.16354322067816146,0.19634308058095976,0.32583725870345326
AMOTL1,1.2201632465055299,0.047216710270133494,0.2534089532612532,0.16840683677279897,0.12119012650266552,0.5961780450040128
AMPD3,0.8362954014011662,0.024060239640056394,0.42463545635868605,0.10018629468895814,0.07612605504890174,0.3719837457846381
ANAPC1,0.29453449183333175,0.005910186576701698,0.7750300760848274,0.04793251628619455,0.04202232970949285,0.1106814437850024
ANGEL1,-0.047465995442562685,-0.0012850869744550353,0.9631784359709642,0.08290321532224232,0.08418830229669735,0.016293249138215293
ANK1,0.20441267065719743,0.007182970562230301,0.8425788417835203,0.14051410819900848,0.13333113763677817,0.0743894507539556
ANKDD1A,0.43107608622879634,0.014309708361976634,0.6765537386754844,0.09524535894579199,0.08093565058381534,0.1696977016778616
ANKLE1,0.05818043635357341,0.001864435945799256,0.9548762035711383,0.11335976449726712,0.11149532855146785,0.02005292955860908
ANKRD10,-0.4538530812994425,-0.01070238272108022,0.6606806841891448,0.08481269675239853,0.09551507947347876,0.18000839013839678
ANKRD11,0.20486495199699398,0.0030762868415163958,0.842235893193084,0.06574059071898378,0.06266430387746738,0.07456625438626961
ANKRD13A,-0.3083912006839745,-0.002770375413680866,0.7648032591933407,0.041824572581243225,0.04459494799492409,0.11645026999102098
ANKRD13B,-0.7403911131409314,-0.013437611841757902,0.47793234689046704,0.06405991961890027,0.07749753146065817,0.3206335750439003
ANKRD18B,0.27446487728127655,0.012178941534171012,0.789923383596969,0.25110178036119607,0.23892283882702506,0.10241502984205293
ANKRD19,-0.7265391441446487,-0.025881705938985283,0.48597396908133494,0.18118154192766442,0.2070632478666497,0.3133869928510912
ANKRD19P,0.37577476158765577,0.001303218227752978,0.7157885596895959,0.021894695206679533,0.020591476978926552,0.14521524713543132
ANKRD20B,1.4590555921019894,0.03388457951466439,0.17855075061849188,0.29859683346301125,0.2647122539483469,0.7482383197149192
ANKRD26,-0.24944988468448998,-0.0040220811807455195,0.8086128088793875,0.06002795530520381,0.06405003648594934,0.09225938348023474
ANKRD28,-0.47309153469756826,-0.018146485420807018,0.647411410784213,0.09049764060520099,0.10864412602600801,0.18881965031968995
ANKRD30A,0.3908380302492889,0.023932255073482844,0.7050076940104262,0.5822085109004004,0.5582762558269176,0.15180614336599363
ANKRD30B,-0.9054867344867805,-0.05257619022789259,0.3888048166129211,0.15371951408164397,0.20629570430953656,0.41026836356197705
ANKRD31,0.1429215661332792,0.0010824131810163937,0.8895007446653453,0.0370194548068048,0.03593704162578841,0.05085368400061267
ANKRD33B,1.1933496092332603,0.03996810112392277,0.2632398997138054,0.21042715065776438,0.1704590495338416,0.5796482833246676
ANKRD34B,1.7342282401654532,0.0800969514325526,0.1169064257528376,0.1551270489051638,0.07503009747261119,0.9321616172187964
ANKRD36,0.9811290742246654,0.01558164004351456,0.3521659083975509,0.09614376644857503,0.08056212640506048,0.453252688435298
ANKRD37,-0.2548579165111782,-0.003031062007045164,0.8045609640806292,0.03716623898438391,0.04019730099142907,0.09444104247770728
ANKRD39,-0.3672297923303697,-0.008127533978179238,0.7219341496431946,0.0789015588658749,0.08702909284405413,0.1415024142736279
ANKRD42,0.5046031110774886,0.010656066242690054,0.6259601969068262,0.07426419437557306,0.063608128132883,0.20345328150731706
ANKRD43,-0.38151368204815933,-0.008397842994869995,0.7116731677641236,0.0860846435835031,0.09448248657837309,0.14771940808294381
ANKRD52,0.007986740352990969,2.864363819874427e-4,0.9938018050865978,0.10972330651491043,0.10943687013292298,0.0027002187613082915
ANKRD56,0.3964899359951148,0.008992345417189448,0.7009803121932322,0.07735240100145886,0.0683600555842694,0.15429417950254434
ANKRD58,-0.8423776342268617,-0.0567806721107825,0.42139718193038167,0.18996568610562323,0.24674635821640573,0.3753083730377837
ANKRD9,0.35392187278876663,0.0071580497446120175,0.7315472429592584,0.0597567995124442,0.05259874976783218,0.1357576221100988
ANO1,0.29450056370811806,0.009409260358868243,0.7750551737058559,0.23646830402351965,0.22705904366465138,0.11066738035420211
ANO10,0.08807879860273268,0.0017194345413219514,0.9317427528635216,0.07097193386266576,0.06925249932134381,0.03070397652273815
ANO3,0.9088648158142367,0.01248150840692306,0.3871121562611983,0.04452116584274682,0.032039657435823765,0.41216319056617745
ANO8,-0.40787680475889115,-0.006620172296587151,0.6928963717256283,0.0795775850974496,0.08619775739403676,0.15933171279512903
ANP32A,-0.4352224938833081,-0.02053133522544892,0.673651251160334,0.14241015812833502,0.16294149335378394,0.17156487927353684
ANP32B,-0.879183608605403,-0.026034777747022175,0.4021651845182098,0.07851843510053272,0.10455321284755491,0.39559552903038775
ANPEP,2.809675513170042,0.1271995722532533,0.020387855941667348,0.45925022726333226,0.33205065501007897,1.6906284437492103
ANXA4,-0.28329277179819085,-0.006163192605883369,0.7833608370892231,0.09619587544447175,0.10235906805035512,0.10603814412487593
ANXA5,0.2671070183845028,0.0033119563537537325,0.7954065506473587,0.05927809147885175,0.05596613512509802,0.0994108366612203
AOX1,0.4428118773980627,0.012047324763369477,0.6683534576098438,0.08336538211788772,0.07131805735451822,0.1749938008597309
AP1M2,0.3085139324798445,0.017665401183938417,0.7647128895071262,0.16155659090987096,0.14389118972593254,0.11650158956176665
AP1S1,-0.20093552287969402,-0.0030233213705225664,0.8452166029541047,0.05746025894515844,0.060483580315681004,0.07303198050220137
AP1S2,0.5520588666446246,0.009265773796733628,0.5943492851431522,0.07299519709112781,0.06372942329439418,0.22595825530760774
AP1S3,0.25335862202865156,0.0048092733024936996,0.8056836647056351,0.1320930799390192,0.1272838066365255,0.09383544161860677
AP3B1,-0.1893808024607945,-0.002831079376558382,0.8539964657056816,0.09438709323949981,0.09721817261605818,0.06854392665021752
AP3B2,-0.5129629254422605,-0.011300490918724801,0.6203300277569258,0.0690131862121895,0.08031367713091431,0.20737719582438963
AP4E1,0.11412115124337968,0.0031192904905307586,0.9116470659919882,0.06154973353571269,0.05843044304518194,0.04017326140637082
AP5B1,-0.42373888350881495,-0.011437629655377035,0.6817036111235439,0.0677377968916869,0.07917542654706393,0.1664044054486982
APBA1,-0.4713883125288501,-0.016654339104584734,0.6485809669301204,0.08693691246410874,0.10359125156869348,0.18803580015658045
APBB1IP,0.393539057583469,0.011777227505221408,0.7030818003834651,0.1051764105519146,0.09339918304669319,0.15299414384438173
APC,-1.1470744124849428,-0.00741694324054934,0.2809294229482453,0.041481039100505296,0.048897982341054635,0.5514027728849947
APCDD1L,0.6561477596561031,0.019628292622143634,0.5281457652560947,0.12550675247821183,0.1058784598560682,0.2772461980918445
APEH,-0.42108890898069873,-0.012488803506481683,0.683567895266672,0.13256432210585406,0.14505312561233571,0.1652183427271147
APEX2,-1.6165948415543296,-0.06763314397025064,0.14042105209455769,0.2176413940324953,0.28527453800274594,0.852567777369218
APLN,-0.7014729337545561,-0.03971923687724377,0.5007425845773337,0.22121108930216102,0.26093032617940476,0.300385473389335
APOB,1.0222240692706854,0.09819638031520722,0.33336495481069983,0.27518349545486165,0.1769871151396544,0.47708005757431377
APOLD1,-0.4684759181002521,-0.010667242836225707,0.6505831873173511,0.08423845572565104,0.09490569856187674,0.1866971641553734
APPL1,-0.5387596252974606,-0.005125381450767463,0.6031215930713472,0.05074430259491785,0.055869684045685326,0.2195951225589603
AQP11,0.28533255283901293,0.006603090608689112,0.781847038110213,0.06322392969727034,0.056620839088581225,0.10687820474391277
AQR,0.8202520200895881,0.02783518804932432,0.43325884243289003,0.11262599429353644,0.08479080624421213,0.3632525649542122
AR,-1.234614159665587,-0.051358607569293724,0.2482361685075594,0.22509170961330266,0.2764503171825964,0.6051349406500675
ARAF,0.30479450355339516,0.005587837420724204,0.7674532381844079,0.08887995917869175,0.08329212175796752,0.11494807711093225
ARC,0.039046138176687985,8.400008503840622e-4,0.9697060234728565,0.10033483634981892,0.09949483549943486,0.013359906696849591
ARF3,-0.7752292493511898,-0.011271897376567919,0.45808821754052653,0.05538390970912172,0.06665580708568963,0.3390508785424926
ARF4,0.43977851273848523,0.005072544075692263,0.6704686029759317,0.04010791865654083,0.035035374580848565,0.17362155468570398
ARF5,0.5395600717561729,0.005011459652770112,0.6025916795603214,0.1536710400031006,0.14865958035033058,0.21997686925407653
ARF6,-0.39316308835639796,-0.006649103780988416,0.7033497413423486,0.04951293089425232,0.05616203467524073,0.15282866791771985
ARFGAP2,0.37579988367155376,0.009392498490397472,0.7157705233202452,0.17065114289594296,0.1612586444055455,0.14522619058272032
ARFGEF1,0.5720365239499438,0.010603097993808402,0.5813017111492926,0.05990787230666241,0.049304774312854016,0.23559839863039714
ARFGEF3,1.110999666753403,0.023953716955449254,0.29536641981072825,0.05824057599871547,0.03428685904326621,0.5296388811292826
ARG2,-0.2775487594513079,-0.0128972430086928,0.7876288442925748,0.1114341107359055,0.12433135374459832,0.10367838764854805
ARGLU1,0.610014392609439,0.014507327353340746,0.5569387274663251,0.08604017622500444,0.0715328488716637,0.2541925818226856
ARHGAP10,-0.5075929653087523,-0.0030519638325406905,0.6239436200173551,0.028625050520956975,0.03167701435349767,0.20485465169831849
ARHGAP12,-0.7296167610778906,-0.02204802802910806,0.4841798918957534,0.09051097086113835,0.11255899889024641,0.3149932508712619
ARHGAP20,0.22239670711919796,0.007103047389994656,0.8289699873425678,0.06647758568800832,0.05937453829801367,0.08146119269153541
ARHGAP21,-0.6660582459986251,-0.0167356370395796,0.5220780591263454,0.07733271003429636,0.09406834707387597,0.2822645580832557
ARHGAP22,0.28785498764661266,0.0028755737867803416,0.7799763853618339,0.06585947730710016,0.06298390352031982,0.10791854585092664
ARHGAP31,0.6085056066681749,0.00945887245137714,0.5578954046910223,0.03822376252667699,0.028764890075299848,0.2534472157997955
ARHGDIA,-0.1306495783098985,-0.0032511159225195665,0.8989262171117596,0.06192902432114554,0.0651801402436651,0.04627595322364957
ARHGEF10,-0.304894418539204,-0.005262454458667465,0.7673795793744609,0.06714146045155439,0.07240391491022186,0.11498976193075384
ARHGEF12,0.183693605969202,0.0025822113619616144,0.8583257805520081,0.059883855623307926,0.057301644261346305,0.06634784287140504
ARHGEF16,0.6219441358126867,0.015383129516900629,0.5494075880847978,0.06269278066849018,0.047309651151589555,0.2601053466617286
ARHGEF17,-0.0905494299501743,-0.0014064066384711638,0.929833845641252,0.07573617964405208,0.07714258628252323,0.03159464969120867
ARHGEF18,0.10564345127456103,0.0029495466704479445,0.91818237592699,0.07009765895990804,0.06714811228946009,0.03707104756554824
ARHGEF3,0.8546176160695266,0.034809562351106244,0.414932099784594,0.1564299381572732,0.12162037580616697,0.38202296618315934
ARHGEF9,-0.9423496175473831,-0.07442044792995517,0.37061938894329083,0.21213433534096449,0.28655478327091966,0.4310718643187459
ARID2,-0.6046754773442383,-0.011494362439324113,0.5603281874266959,0.11407572880416855,0.1255700912434927,0.25155752970812556
ARID3A,0.24439810370065504,0.00591103620238316,0.8124031960540676,0.09571544911805069,0.08980441291566751,0.09022837671735995
ARID5A,-0.09495635231629138,-0.0032724329732017055,0.9264300687217963,0.0909624868443164,0.09423491981751812,0.033187357688279885
ARIH1,-0.41957764294652533,-0.008260944304114934,0.6846321026666187,0.048247804967778064,0.05650874927189299,0.1645427404828502
ARL1,0.42272610947964157,0.005002313277823051,0.6824158395193678,0.05757151438375244,0.05256920110592939,0.16595090133639714
ARL10,0.5741219351561245,0.01645302362060725,0.579948814616601,0.05829885524833738,0.04184583162773014,0.2366103349034547
ARL15,-2.169959848287904,-0.011906254484367156,0.05811728507768781,0.053572007325778534,0.0654782618101457,1.2356946817676593
ARL2BP,0.7954364061959582,0.026666434772036854,0.4468298432581469,0.10504113464744919,0.07837469987541233,0.3498578285521576
ARL4C,0.8752499920705733,0.04513209103065147,0.4041907280877408,0.47340015932611446,0.428268068295463,0.3934136531822094
ARL4D,-0.3092043568339493,-0.004454120020911223,0.7642045874616025,0.036539316521305404,0.04099343654221663,0.11679035960327597
ARL5B,0.08652114137645163,0.001216763635947589,0.9329464981355634,0.055297304398408395,0.054080540762460806,0.03014326110958884
ARL6IP1,-0.09688341721426846,-0.003954826253614249,0.924942153055516,0.10536239221866701,0.10931721847228126,0.03388542768730945
ARL8A,-0.23079399900358968,-0.0059714657892158685,0.8226358777441416,0.1367151565513731,0.14268662234058893,0.08479235346224416
ARMC2,-0.22365750338229445,-0.010427367455186992,0.8280181177528265,0.09335089339937919,0.10377826085456618,0.08196016037213401
ARMC4,1.1059744053002951,0.017662915690164246,0.2974230715496535,0.08664488900730354,0.06898197331713929,0.5266253456389932
