gene_symbol,statistic,dm,p.value,mean_pnet,mean_norm,pval_log
CWF19L2,-0.5613949712003892,-0.015379650759046501,0.5899038238394438,0.10027135148506179,0.08489170072601529,0.2292187886638956
CWH43,-1.1383891935645483,-0.045438857571404284,0.2878985547219404,0.14728894659124503,0.10185008901984074,0.5407605153159492
CXADR,-0.4685949153367156,-0.006657000176996532,0.6518624279851888,0.0644194929572009,0.057762492780204365,0.1858440500826016
CXCL1,-0.6389427724674244,-0.02375560687343943,0.5407179672426558,0.11453687398701975,0.09078126711358034,0.2670291992338875
CXCL2,-0.3072131715769888,-0.006148566136203168,0.7665261494714193,0.11888893905005442,0.11274037291385125,0.11547302492254878
CXCR4,-0.821149567756375,-0.027326932246306904,0.43534639173416567,0.10455121904897485,0.07722428680266796,0.3611650507368825
CXCR7,-0.21446863904230373,-0.0063328120386699355,0.8355474490044998,0.09829511474465401,0.09196230270598407,0.078028882388537
CXorf38,0.06421549160255159,0.0022287069434500234,0.9503742312422829,0.08718804505580477,0.08941675199925479,0.022105347805855134
CXorf57,0.27151023412135117,0.008163880182335131,0.7928734460236316,0.17980266455406982,0.18796654473640495,0.10079612678038324
CXXC5,-1.1522245462216503,-0.007582054705594261,0.2824951953552877,0.05140889319726571,0.043826838491671447,0.5489889342106684
CYB5B,-0.4626438319346097,-0.01463692854446283,0.6559431874070827,0.13663438643789694,0.12199745789343411,0.18313377413666077
CYB5R2,0.38548410080119927,0.013234641746608822,0.7099265013730149,0.12359260541129043,0.13682724715789923,0.14878661142234714
CYB5R4,-1.3387958062450673,-0.03692723410103693,0.21743164796964148,0.08365025817401839,0.046723024072981456,0.662677242502501
CYBA,-0.3775503068303144,-0.013448120415504486,0.7155842645451354,0.10144529340497346,0.08799717298946898,0.14533921798777544
CYC1,-0.09838504348236847,-0.0024289249856708356,0.9240470241617771,0.08403589939803364,0.08160697441236284,0.034305927249236
CYCS,-1.4437879242413372,-0.010408119810569383,0.18679231459798704,0.049346844001104444,0.03893872419053506,0.7286409963947285
CYFIP1,-1.0698174300585224,-0.023554756777804733,0.31591445221191106,0.0747912248590958,0.05123646808129106,0.5004305058697309
CYGB,-0.8574996612589725,-0.022678780453360234,0.41611674654831954,0.125588922610064,0.10291014215670376,0.38078480574712686
CYP1A1,0.4420777108735475,0.018630218892401018,0.6701399309942329,0.16499153625056262,0.18362175514296364,0.17383450339854734
CYP1B1,-0.515407933626525,-0.013386584057430637,0.62020445626996,0.09492944384051633,0.08154285978308567,0.2074651176109455
CYP26B1,-0.13241103533764725,-0.0035310315640731393,0.8979289999517588,0.12096107066412146,0.11743003910004832,0.04675800202780319
CYP26C1,1.7570708288754164,0.17207890116742508,0.11696731131335857,0.31771927173053094,0.489798172897956,0.9319354929528493
CYP2J2,-0.5777407784942513,-0.007264698154025931,0.5793326944277506,0.06345212590303699,0.05618742774901106,0.2370719615598146
CYP2S1,-1.1379858344874783,-0.048394102893331015,0.28805732842830073,0.1225592697169239,0.07416516682359288,0.5405210714685726
CYP2U1,-0.019367610208030094,-9.326339093990166e-4,0.9850221816018132,0.1084261285074127,0.10749349459801369,0.006553989564519929
CYP46A1,0.025225083823903517,8.658954530468277e-4,0.9804932968248454,0.1552316177543923,0.15609751320743911,0.00855537105477128
CYP4V2,-0.16963952811337105,-0.00440927385377432,0.8695048647717413,0.08575500292934997,0.08134572907557566,0.06072798383077687
CYP7B1,0.020209361529342895,8.88848033527595e-4,0.9843713161756016,0.1563808408461491,0.15726968887967666,0.006841049792631434
CYS1,0.06434714930879976,0.0024606945480820375,0.9502726437634035,0.13733328386247756,0.1397939784105596,0.022151772927880696
CYSRT1,-1.1951314298300044,-0.006903904662398604,0.26625995701857524,0.041035893345474764,0.03413198868307616,0.574694142436333
CYSTM1,-0.01225547756330887,-6.517584426389139e-4,0.9905219045700084,0.11631700254226723,0.1156652440996283,0.004135915957139402
D2HGDH,-0.3993911106925666,-0.0182284767223099,0.700055327826772,0.12346451765619375,0.10523604093388383,0.15486763481387641
DAAM1,-0.7968202482187087,-0.006294425041806356,0.4485549976532115,0.04040409156283484,0.034109666521028474,0.34818430019411856
DACT3,-0.4384001079363298,-0.02013715010414449,0.6726937262510779,0.14750452162109048,0.127367371516946,0.1721826226624381
DAD1,-1.0049515688117647,-0.005618595859236807,0.34434505631885565,0.03260643240576152,0.026987836546524712,0.46300614769783716
DAPK1,0.024009187604548156,4.46908425640713e-4,0.9814333480307489,0.06959781862606058,0.0700447270517013,0.008139189253332547
DAPK3,-0.24222361676174756,-0.010000926873574928,0.8147009552299169,0.14994087496769928,0.13993994809412436,0.08900177448248514
DBC1,0.041552255390254575,0.0010359653197479224,0.9678739670478576,0.17230486120891783,0.17334082652866573,0.014181191223858402
DBR1,-0.39117037823644984,-0.011138249592769947,0.7058832108900109,0.08542222699750454,0.0742839774047346,0.15126714747750675
DBX1,0.06758782268099686,0.002913518258450154,0.947772440465894,0.1549019134473684,0.15781543170581855,0.023295923962849227
DBX2,0.5966620701750346,0.01747597005580756,0.5672300021230066,0.103179536227832,0.12065550628363957,0.24624080636540968
DCAF12,0.023000605858224298,7.543243233127522e-4,0.9822131407757558,0.08418984469518986,0.0849441690185026,0.00779425985191798
DCAF12L2,-0.8451018934371586,-0.05636623097530552,0.4226071408872757,0.29451336583788373,0.2381471348625783,0.37406316885081775
DCAF4L2,0.8252300041935863,0.014436671511706356,0.433157587444128,0.8826573830003129,0.8970940545120194,0.36335407383970497
DCAF5,-0.46845328429840494,-0.012040463550506406,0.6519594027249312,0.07632950312768705,0.06428903957718064,0.18577944678567893
DCAF7,-1.14037529025059,-0.013954759544652633,0.28711779902477663,0.05164391696743681,0.037689157422784184,0.5419398838579388
DCBLD2,0.2374892262830693,0.009219888807906862,0.8182463345638049,0.1151560436102886,0.12437593241819543,0.08711593149173173
DCLK1,0.8959086217571066,0.03049525436415898,0.39645821146198224,0.11676832566043113,0.14726358002459009,0.4018025825907761
DCP1B,-0.6473951074243214,-0.024946053728075235,0.5355078163270632,0.10726927919323449,0.08232322546515926,0.2712341857790195
DCPS,-0.8171323259190224,-0.03216427689692658,0.43750874392805195,0.16140920314444915,0.1292449262475226,0.35901326286622665
DCTPP1,-0.9634039823436651,-0.0241798713797733,0.3635581574582155,0.08489906504915944,0.060719193669386134,0.4394261062825465
DDAH2,0.17880829159480852,0.003831696342224772,0.8625336085539431,0.13029874250604656,0.13413043884827133,0.06422397367480145
DDIT3,-0.18316942201802414,-0.006132743732277873,0.8592221761619901,0.09469384504519154,0.08856110131291367,0.06589452254245348
DDIT4,0.2610951632005474,0.004346101401664089,0.8006147704445445,0.05123276765178903,0.05557886905345312,0.09657640191091821
DDN,-0.7213093266333696,-0.00963500964824801,0.49125886046861844,0.059880600838895945,0.05024559119064794,0.30868960350114666
DDOST,-0.7874816031831747,-0.01024119392347643,0.45369671848416904,0.05472778291642728,0.04448658899295084,0.3432343619051792
DDRGK1,-0.005786444215765855,-1.3560005956053667e-4,0.995524803469324,0.13521602739844837,0.13508042733888784,0.0019479150683484121
DDX10,-1.9878529269442315,-0.011367441010678915,0.0820452957933264,0.04952884648615146,0.03816140547547255,1.085946314910324
DDX12,-1.860644971680431,-0.01627632342862722,0.09983166872307515,0.057062392255994285,0.040786068827367065,1.0007316694341661
DDX18,-2.556852296265752,-0.02136438593902619,0.03381217368111253,0.0719918814905592,0.05062749555153301,1.4709269088743395
DDX23,-0.8047469407739221,-0.020012240282825944,0.44422184235388773,0.08722522491327632,0.06721298463045038,0.35240009103619835
DDX39,-0.8108061538081324,-0.009912159506374453,0.4409288842015979,0.06473828755217885,0.0548261280458044,0.35563145064410784
DDX3X,0.5106911317146434,0.01548269530916705,0.6233578883724702,0.051067441100182895,0.06655013640934995,0.20526254030943217
DDX41,-0.4506465375007281,-0.007372154800972475,0.664207300418051,0.08584256971176653,0.07847041491079407,0.1776963553051567
DDX46,-1.3951550423435126,-0.02557406415736485,0.20048141868016506,0.0686939481023482,0.04311988394498335,0.6979258731117604
DDX50,-1.1969993107311458,-0.01892699046869363,0.2655709304052683,0.07891472282654396,0.059987732357850335,0.5758194649046077
DDX55,-1.1223217720833571,-0.028407653924725038,0.2942778737948431,0.08468497793321424,0.05627732400848918,0.5312423904659627
DDX58,0.5478140743789559,0.024803670189297772,0.5987671650515392,0.14290559542671705,0.16770926561601482,0.22274202333886503
DDX59,0.6796494143121358,0.023202339911946007,0.515906486367876,0.14733702468217735,0.1705393645941234,0.2874290118125468
DDX6,0.243639127728597,0.005271719029956282,0.8136418180485118,0.1005498666744939,0.10582158570445019,0.08956673845183954
DECR1,0.09343569625534326,0.0012197840586148784,0.9278550914181241,0.06534352197384573,0.0665633060324606,0.03251984480650577
DECR2,0.6588383885116239,0.025697955321086596,0.528502452739972,0.19478166227138527,0.22047961759247187,0.2769529928239843
DEDD2,-1.8937959705129543,-0.02168244830645963,0.09486992809646753,0.07114026263164692,0.049457814325187296,1.0228714285783693
DEGS1,-1.3910146474595917,-0.019130806149895874,0.2016863897360093,0.06264945073824696,0.04351864458835108,0.6953234079943901
DEGS2,-1.1593868761742596,-0.028145706343181295,0.2797304015895109,0.09712266119361472,0.06897695485043343,0.5532603311791916
DEM1,0.22699611641873213,0.005580733742026764,0.8261199323137678,0.12111253272769573,0.12669326646972248,0.08295689921582985
DENND2C,-0.2971778017789144,-0.005158356505650344,0.773900977663712,0.08082889457183053,0.0756705380661802,0.111314604698762
DENND3,-0.22757736920952232,-0.005630029638836603,0.8256832266651634,0.0940614308759576,0.08843140123712102,0.08318653778601034
